ID,GAME,YEAR,DEVELOPER,PUBLISHER,GENRE
219,Ridge Racer 64,2000,Nintendo Software Technology,Nintendo,Racing | Automobile
220,Road Rash 64,1999,Pacific Coast Power & Light,THQ,Racing | Battle
221,Roadsters,1999,Titus Software,Titus Software,Racing | Automobile
222,Robotron 64,1998,Player 1,Crave Entertainment,Arcade | Action |  3D Shooter
223,Rocket: Robot on Wheels,1999,Sucker Punch,Ubisoft,Adventure | 3D Platformer
224,Rugrats in Paris: The Movie,2000,Avalanche Software,THQ,Adventure | 3D Platformer
225,Rugrats: Scavenger Hunt,1999,Realtime Associates,THQ,Board Game
226,Rush 2: Extreme Racing USA,1998,Midway,Midway,Racing | Automobile
227,S.C.A.R.S.,1999,Vivid Image,Ubi Soft,Racing | Battle
228,San Francisco Rush: Extreme Racing,1997,Midway,Midway,Racing | Automobile
229,San Francisco Rush 2049,2000,Midway,Midway,Racing | Automobile
230,Scooby-Doo! Classic Creep Capers,2000,Terraglyph Interactive Studios,THQ,Adventure
231,Shadow Man,1999,Acclaim Studios Teesside,Acclaim Entertainment,Action | Adventure | 3D Shooter
232,Shadowgate 64: Trials of the Four Towers,1999,Infinite Ventures,Kemco,Role Playing | Puzzle
233,Snowboard Kids,1997,Racdym,Atlus,Sports | Snowboarding
234,Snowboard Kids 2,1999,Racdym,Atlus,Sports | Snowboarding
235,South Park,1998,Iguana Entertainment,Acclaim Entertainment,Adventure | First-Person Shooter
236,South Park Rally,2000,Tantalus Interactive,Acclaim Entertainment,Racing | Battle
237,South Park: Chef's Luv Shack,1999,Acclaim Studios Austin,Acclaim Entertainment,Game Show
238,Space Invaders,1999,Z-Axis,Activision,Arcade | Action | 2D Shooter
239,Space Station Silicon Valley,1998,DMA Design,Take-Two Interactive,Adventure | Puzzle | 3D Platformer
240,Spider-Man,2000,Edge of Reality,Activision,Adventure | Action | 3D Platformer
241,Star Fox 64,1997,Nintendo,Nintendo,Action | Flight | 3D Rail Shooter
242,Star Soldier: Vanishing Earth,1998,Hudson Soft,Hudson Soft,Action | 2D Shooter
243,Star Wars: Episode I: Battle for Naboo,2000,Factor 5,LucasArts,Action | 3D Shooter
244,Star Wars Episode I: Racer,1999,LucasArts,Nintendo,Racing | Hovercraft
245,Star Wars: Rogue Squadron,1998,Factor 5,Nintendo,Action | 3D Shooter
246,Star Wars: Shadows of the Empire,1996,LucasArts,Nintendo,Action | Adventure | 3D Shooter
247,StarCraft 64,2000,Mass Media,Nintendo,Strategy | Real-Time
248,Starshot: Space Circus Fever,1999,Infogrames,Infogrames,Action | Adventure | 3D Platformer
249,Stunt Racer 64,2000,Boss Game Studios,Midway,Racing | Automobile | Stunt
250,Super Bowling,2000,Athena,UFO Interactive Games,Sports | Bowling
251,Super Mario 64,1996,Nintendo,Nintendo,Action | Adventure | 3D Platformer
252,Super Smash Bros.,1999,HAL Laboratory,Nintendo,Arcade | Fighting
253,Supercross 2000,1999,MBL Research,Electronic Arts,Racing | Motorcycle
254,Superman,1999,Titus Software,Titus Software,Action | Adventure | 3D Platformer
256,Tetrisphere,1997,H2O Entertainment,Nintendo,Arcade | Action | Puzzle
257,Tigger's Honey Hunt,2000,Doki Denki Studio,NewKidCo | Ubi Soft (EU),Adventure | 2D Platformer
258,Tom and Jerry in Fists of Furry,2000,VIS Interactive,NewKidCo | Ubi Soft (EU),Arcade | Fighting
259,Tonic Trouble,1999,Ubisoft,Ubisoft,Action | Adventure | 3D Platformer
260,Tony Hawk's Pro Skater,2000,Edge of Reality,Activision,Sports | Skateboarding
261,Tony Hawk's Pro Skater 2,2001,Edge of Reality,Activision,Sports | Skateboarding
262,Tony Hawk's Pro Skater 3,2002,Edge of Reality,Activision,Sports | Skateboarding
263,Top Gear Hyper Bike,2000,Snowblind Studios,Kemco,Racing | Motorcycle
264,Top Gear Overdrive,1998,Snowblind Studios,Kemco,Racing | Automobile
265,Top Gear Rally,1997,Boss Game Studios,Midway,Racing | Automobile | Rally
266,Top Gear Rally 2,1999,Saffire Corporation,Kemco,Racing | Automobile | Rally
267,Toy Story 2: Buzz Lightyear to the Rescue,1999,Traveller's Tales,Activision,Action | Adventure | 3D Platformer
268,Transformers: Beast Wars Transmetals,2000,Pacific Coast Power & Light,BAM! Entertainment | Takara,Arcade | Action | 3D Fighting
269,Triple Play 2000,1999,Treyarch,Electronic Arts,Sports | Baseball
270,Turok: Dinosaur Hunter,1997,Iguana Entertainment,Acclaim Entertainment,Action | First-Person Shooter
271,Turok 2: Seeds of Evil,1998,Iguana Entertainment,Acclaim Entertainment,Action | First-Person Shooter
272,Turok 3: Shadow of Oblivion,2000,Acclaim Studios Austin,Acclaim Entertainment,Action | First-Person Shooter
273,Turok: Rage Wars,1999,Acclaim Studios Austin,Acclaim Entertainment,Action | First-Person Shooter
274,Twisted Edge Extreme Snowboarding,1998,Boss Game Studios,Midway,Sports | Snowboarding
275,V-Rally Edition '99,1999,Eden Studios,Infogrames,Racing | Automobile
276,Vigilante 8,1999,Luxoflux,Activision,Racing | Destruction Durby
277,Vigilante 8: 2nd Offense,2000,Luxoflux,Activision,Racing | Destruction Durby
278,Virtual Chess 64,1998,Titus Software,Titus Software,Board Game | Strategy
279,Virtual Pool 64,1998,Celeris,Crave Entertainment,Sports | Billiards
280,Waialae Country Club: True Golf Classics,1998,T&E Soft,Nintendo,Sports | Golf
281,War Gods,1997,Eurocom,Midway,Arcade | Action | 3D Fighting
282,Wave Race 64,1996,Nintendo,Nintendo,Sports | Jet Ski
283,Wayne Gretzky's 3D Hockey,1996,Williams Entertainment,Midway,Sports | Ice Hockey
284,Wayne Gretzky's 3D Hockey '98,1997,Software Creations,Midway,Sports | Ice Hockey
285,WCW Backstage Assault,2000,Kodiak Interactive,Electronic Arts,Sports | Wrestling
286,WCW Mayhem,1999,Kodiak Interactive,Electronic Arts,Sports | Wrestling
287,WCW Nitro,1999,Inland Productions,THQ,Sports | Wrestling
288,WCW vs. nWo: World Tour,1997,AKI,THQ,Sports | Wrestling
289,WCW/nWo Revenge,1998,AKI,THQ,Sports | Wrestling
290,Wetrix,1998,Zed Two,Ocean Software | Infogrames Multimedia,Arcade | Action | Puzzle
291,Wheel of Fortune,1997,GameTek,GameTek,Game Show | Knowledge
292,WinBack,1999,Omega Force,Koei,Action | Adventure | 3D Shooter
293,Wipeout 64,1998,Psygnosis,Midway,Racing | Hovercraft
294,World Cup 98,1998,Electronic Arts,Electronic Arts,Sports | Soccer
295,World Driver Championship,1999,Boss Game Studios,Midway,Racing | Automobile
296,The World Is Not Enough,2000,Eurocom,EA Games,Action | First-Person Shooter
297,Worms Armageddon,2000,Infogrames Lyon House,Infogrames,Strategy | Puzzle
298,WWF Attitude,1999,Iguana West,Acclaim Sports,Sports | Wrestling
299,WWF No Mercy,2000,AKI,THQ,Sports | Wrestling
300,WWF War Zone,1998,Iguana West,Acclaim Sports,Sports | Wrestling
301,WWF WrestleMania 2000,1999,AKI,THQ,Sports | Wrestling
302,Xena: Warrior Princess: The Talisman of Fate,1999,Saffire Corporation,Titus Software,Arcade | Action | 3D Fighting
303,Yoshi's Story,1997,Nintendo,Nintendo,Action | Adventure | 2D Platformer
305,1080� Snowboarding,1998,Nintendo EAD,Nintendo,Sports | Snowboarding
