"COMMAND","TEXT","AUTHOR","CREATED",
"spring","tl;dr Spring brings a whole new slew of incentives to the channel @ 25, 50, 75, and 100 subs, culminating in a first play of Breath of the Wild! Read about it here: https://sp0ck1.com/planning/spring-into-the-wild.html","sp0ck1",2021-03-24 23:49:26.124133000,
"bgd","https://cdn.discordapp.com/attachments/561214998060335104/825600455001374725/slmBGD.png","daro16",2021-03-28 05:22:07.003217000,
"bigbabypark","Daro hates this track","daro16",2021-04-11 03:24:09.365011000,
"goals","https://pastebin.com/nimnF87B","sp0ck1",2021-04-17 01:29:11.668231000,
"lightning","Is there a Mortal Kombat move stronger than Backwards Lightning?

And I'm referring to God of Lightning Raiden's Non Crouch Canceled Backwards Lightning with the Extreme Turnaround Frame Cancel and Lightning Arc Wakeup (with the Ultimate Stand ability) equipped with his Straw Hat and Raiden Raiment, a complete Chad, with the Omega Arc DNA implanted in his chest so he can perform Repeated Forward Punches and High Jump Kicks repeatedly as well as being followed up with Searing Forward Lightning of","hydromedia",2021-04-24 01:53:32.689495000,
"mines","⛏️ HOW ⛏️ LONG ⛏️ CAN ⛏️ THIS ⛏️ GO ⛏️ ON ⛏️","daro16",2021-04-27 23:14:32.442708000,
"mspac","Cleopactra, mummy dearest, freezer burn, year of the pac, pac crackle pop, creature feature, or watch your pac","sp0ck1",2021-04-28 22:57:05.780580000,
"jtb","Jake the boy at just taco bell","daro16",2021-05-02 05:38:16.147959000,
"bog?","A fen is a type of peat-accumulating wetland fed by mineral-rich ground or surface water. It is one of the main types of wetlands along with marshes, swamps, and bogs. Bogs and fens, which are both peat-forming ecosystems, are also known as mires.","hydromedia",2021-05-10 22:03:25.856011000,
"clues","https://sp0ck1.com/crosswords/Jul0421.pdf","sp0ck1",2021-06-06 06:10:09.513079000,
"fritos","https://media.discordapp.net/attachments/648732936551530496/852004034297987122/unknown.png","sp0ck1",2021-06-09 02:33:23.341855000,
"tasukete","N64Mania has been sent to a parallel universe for the month of October where we haven't played several games. This is titled Help ！！ I'm Trapped In An Alternate Dimension I Can Only Escape By Being A God Gamer ！！ or ！！助けて！！俺が神ゲーマにならないと逃げられない異世界に引っ掛けちゃいました？！！","sp0ck1",2021-10-09 01:04:42.824975000,
"automoballi","I'll never understand how automoballi baseball teams allow batters that just....miss...hits. I feel like there has to be pools of batters in the USA that won't miss simple hits. Or fielders that won't mess the throws idk man it seems so SILLY. Would love opinions on this.","sp0ck1",2021-07-08 06:51:49.748091000,
"daro8","https://media.discordapp.net/attachments/699529395135578232/930181202361585714/unknown.png","spock",2021-11-20 09:37:19.993325000,
"formerfawn","A formerfawn is what you call a person who used to be a deer.","spock",2021-12-03 20:18:40.356611000,
"daro9","https://media.discordapp.net/attachments/699529395135578232/924064399101153370/unknown.png","spock",2021-12-24 22:22:01.180530000,
"confession","I seem to have lost my copy of Breath of the Wild :O","sp0ck1",2021-12-28 23:51:23.850358000,
"intrusive","It's over between us! https://media.discordapp.net/attachments/699529395135578232/950619736935370772/unknown.png","spock",2022-03-08 05:03:27.057541000,
"daroquote1","Sounds like a lot of work when I can just quit it instead - Daro16, March 3rd","daro16",2022-03-09 23:26:27.189887000,
"hltb goof","You can beat Goof Troop in 30 minutes, sg4e, and less than 1 hour to carry someone through co-op. I know you're a gamer!","sg4e",2022-04-03 01:08:16.922474000,
"iji","https://www.remar.se/daniel/iji.php","sp0ck1",2022-06-02 01:01:33.935424000,
"tvlist","Speed Racer
Batman Beyond: Return of the Joker
A Bug's Life (I can't wait tbh)
I wonder if Rogue One makes sense bc Rogue Squadron lol
Some early Pokemon maybe/the first movie
Kirby Right Back At Ya????
Toy Story 2
Power Rangers
Disney's Tarzan
Spider Man (...)
Donald Duck
Duck Dodgers (the better duck)
Tigger??? Can we watch Pooh
Here's an interview about Cruis'n USA with some director guy who worked on it lol https://www.youtube.com/watch?v=8J6oTru-1cg
Donkey Kong cartoon?
Blues Brothers & Blues Brothers 2000
Ms Pac Man has that cartoon right
Rugrats
Elmo
Mortal Kombat movie
Star Wars: Episode 1? It's right there in the name of two games","spock",2022-07-18 03:54:22.655444000,
"jazz","That's jazz, baby!","spock",2022-09-05 08:23:59.068632000,
"convoy","room: Seal Goodman pass: shoehorse","sp0ck1",2022-10-01 23:03:15.376843000,
"chambino","This Is Spocco Square Don't catch you slippin' now Don't catch you slippin' now Look what I'm whippin' now This is Spocco Square (woo)","sp0ck1",2022-10-05 22:07:57.688217000,
"use","https://shoehorse.net/use-bs","sp0ck1",2022-10-08 18:36:51.743106000,
"buck","Tonight! 7pm Wednesday October 19: Buck Bumble Missions 1-10!","sp0ck1",2022-10-19 22:16:36.897688000,
"@clyde","@Clyde please tell me a new n64 game to play","spock",2023-04-16 20:24:47.605230000,
"daro2","https://media.discordapp.net/attachments/596250466464170006/799918640912007168/unknown.png","spock",2021-01-18 00:06:25.732585000,
"daro6","https://media.discordapp.net/attachments/596250466464170006/799919235999989760/unknown.png","spock",2021-01-18 00:07:35.106955000,
"shrugme","¯\_(ツ)_/¯","spock",2021-01-25 05:03:15.801895000,
"!banger","catJAM BANGER ALERT catJAM","doctortimewarp",2021-02-10 01:03:13.386755000,
